Membership No  Date Joined  Active  
    29885      2018-2-16    no    
    78701      2019-10-2    no    
    27336      2017-1-10    no    
    39168      2017-1-12    no    
    17246      2018-8-15    no    
    60727      2019-9-7     no    
    88541      2019-5-4     no    
    69590      2018-3-3     no    
    20104      2019-4-8     no    
    17989      2018-5-23    no    
    25369      2017-7-9     no    
    99859      2017-5-1     no    
    65047      2016-12-18   no    
    56074      2018-6-14    no    
    76933      2020-4-24    no    
